Initialising fast UCB table... done
Time in this step: 0.0124598
Time in this step: 0.012339
Time in this step: 0.0125566
Time in this step: 0.0127035
Time in this step: 0.0126097
Time in this step: 0.0124814
Time in this step: 0.0125224
Time in this step: 0.0126466
Time in this step: 0.0124273
Time in this step: 0.0129449
Time in this step: 0.0133898
Time in this step: 0.0130456
Time in this step: 0.0128784
Time in this step: 0.0129926
Time in this step: 0.0127006
Time in this step: 0.0128297
Time in this step: 0.0127918
Time in this step: 0.0126265
Time in this step: 0.0129814
Time in this step: 0.0128559
Time in this step: 0.012698
Time in this step: 0.012548
Time in this step: 0.0127776
Time in this step: 0.0127155
Time in this step: 0.0128563
Time in this step: 0.0128397
Time in this step: 0.0123751
Time in this step: 0.0121736
Time in this step: 0.011733
Time in this step: 0.0121522
Time in this step: 0.0115931
Time in this step: 0.0113267
Time in this step: 0.0112506
Time in this step: 0.0106552
Time in this step: 0.00951002
Time in this step: 0.00945342
Time in this step: 0.00832381
Time in this step: 0.00786261
Time in this step: 0.00765983
Time in this step: 0.0056569
Time in this step: 0.00316741
Terminated
Discounted return = -0.982847, average = 2.97193
Undiscounted return = -10, average = 10.6667
Starting run 16 with 256 simulations... 
Time in this step: 0.012879
Time in this step: 0.0128118
Time in this step: 0.0126518
Time in this step: 0.0126559
Time in this step: 0.0126948
Time in this step: 0.0120203
Time in this step: 0.0117923
Time in this step: 0.0121707
Time in this step: 0.0116878
Time in this step: 0.0115243
Time in this step: 0.0118982
Time in this step: 0.0120162
Time in this step: 0.0119807
Time in this step: 0.0115342
Time in this step: 0.0114605
Time in this step: 0.0110445
Time in this step: 0.0109155
Time in this step: 0.0105871
Time in this step: 0.0104848
Time in this step: 0.0100833
Time in this step: 0.0098251
Time in this step: 0.00938734
Time in this step: 0.00884033
Time in this step: 0.00712866
Time in this step: 0.00698756
Time in this step: 0.0047512
Time in this step: 0.00286836
Time in this step: 0.00201699
Terminated
Discounted return = 15.5209, average = 3.75624
Undiscounted return = 40, average = 12.5
Starting run 17 with 256 simulations... 
Time in this step: 0.0129399
Time in this step: 0.0126041
Time in this step: 0.0118669
Time in this step: 0.0119457
Time in this step: 0.0118326
Time in this step: 0.0115895
Time in this step: 0.0116366
Time in this step: 0.0116241
Time in this step: 0.0118735
Time in this step: 0.0123846
Time in this step: 0.0115983
Time in this step: 0.0112741
Time in this step: 0.0111148
Time in this step: 0.0109991
Time in this step: 0.0107322
Time in this step: 0.0104092
Time in this step: 0.00980257
Time in this step: 0.00923672
Time in this step: 0.00908673
Time in this step: 0.00732198
Time in this step: 0.00781659
Time in this step: 0.00735701
Time in this step: 0.00532763
Time in this step: 0.00258162
Terminated
Discounted return = 7.14263, average = 3.95544
Undiscounted return = 30, average = 13.5294
Starting run 18 with 256 simulations... 
Time in this step: 0.0131053
Time in this step: 0.0127283
Time in this step: 0.0126091
Time in this step: 0.0125511
Time in this step: 0.012609
Time in this step: 0.0126928
Time in this step: 0.0123525
Time in this step: 0.0119217
Time in this step: 0.0118693
Time in this step: 0.0117149
Time in this step: 0.0114777
Time in this step: 0.011602
Time in this step: 0.0112495
Time in this step: 0.0113047
Time in this step: 0.0100182
Time in this step: 0.00999333
Time in this step: 0.00948149
Time in this step: 0.0106018
Time in this step: 0.0100769
Time in this step: 0.0100529
Time in this step: 0.00985326
Time in this step: 0.0089652
Time in this step: 0.0089889
Time in this step: 0.00922814
Time in this step: 0.0090926
Time in this step: 0.00918684
Time in this step: 0.00921052
Time in this step: 0.00924104
Time in this step: 0.00895856
Time in this step: 0.00958717
Time in this step: 0.00931576
Time in this step: 0.00914261
Time in this step: 0.00913668
Time in this step: 0.00931839
Time in this step: 0.00837991
Time in this step: 0.00806276
Time in this step: 0.00697197
Time in this step: 0.00499448
Time in this step: 0.00231339
Terminated
Discounted return = 21.4177, average = 4.92556
Undiscounted return = 50, average = 15.5556
Starting run 19 with 256 simulations... 
Time in this step: 0.0126333
Time in this step: 0.0127047
Time in this step: 0.012364
Time in this step: 0.013301
Time in this step: 0.0129018
Time in this step: 0.0133002
Time in this step: 0.01235
Time in this step: 0.0123323
Time in this step: 0.0119581
Time in this step: 0.0156049
Time in this step: 0.0134428
Time in this step: 0.011307
Time in this step: 0.0111633
Time in this step: 0.0113269
Time in this step: 0.0104211
Time in this step: 0.00981165
Time in this step: 0.00983986
Time in this step: 0.00919364
Time in this step: 0.00908775
Time in this step: 0.0125143
Time in this step: 0.0104594
Time in this step: 0.0126721
Time in this step: 0.00551592
Time in this step: 0.00275768
Terminated
Discounted return = 23.544, average = 5.90548
Undiscounted return = 50, average = 17.3684
Starting run 20 with 256 simulations... 
Time in this step: 0.0128645
Time in this step: 0.0129523
Time in this step: 0.0129692
Time in this step: 0.0130697
Time in this step: 0.011848
Time in this step: 0.0106224
Time in this step: 0.0107629
Time in this step: 0.00982188
Time in this step: 0.00994237
Time in this step: 0.00976348
Time in this step: 0.00966948
Time in this step: 0.0094326
Time in this step: 0.00695897
Time in this step: 0.00384927
Terminated
Discounted return = 14.1584, average = 6.31813
Undiscounted return = 20, average = 17.5
Simulations = 256
Runs = 20
Undiscounted return = 17.5 +- 4.35172
Discounted return = 6.31813 +- 2.12316
Time = 0.338108
Starting run 1 with 512 simulations... 
Time in this step: 0.0276807
Time in this step: 0.0280445
Time in this step: 0.0399921
Time in this step: 0.0299926
Time in this step: 0.0281721
Time in this step: 0.0296178
Time in this step: 0.0262346
Time in this step: 0.0266477
Time in this step: 0.0264946
Time in this step: 0.0258538
Time in this step: 0.0262993
Time in this step: 0.0257223
Time in this step: 0.0256165
Time in this step: 0.0245571
Time in this step: 0.0243119
Time in this step: 0.0251085
Time in this step: 0.0236113
Time in this step: 0.0226095
Time in this step: 0.0226304
Time in this step: 0.0230367
Time in this step: 0.0225414
Time in this step: 0.0224983
Time in this step: 0.023527
Time in this step: 0.0213531
Time in this step: 0.0209782
Time in this step: 0.0206394
Time in this step: 0.0214004
Time in this step: 0.019856
Time in this step: 0.0170644
Time in this step: 0.0167385
Time in this step: 0.0059311
Terminated
Discounted return = 9.95327, average = 9.95327
Undiscounted return = 30, average = 30
Starting run 2 with 512 simulations... 
Time in this step: 0.0266306
Time in this step: 0.0255672
Time in this step: 0.0348887
Time in this step: 0.0295737
Time in this step: 0.0253724
Time in this step: 0.026334
Time in this step: 0.0261678
Time in this step: 0.0264549
Time in this step: 0.0259286
Time in this step: 0.0261822
Time in this step: 0.0256896
Time in this step: 0.0260984
Time in this step: 0.0254471
Time in this step: 0.025355
Time in this step: 0.0253709
Time in this step: 0.0249986
Time in this step: 0.0251368
Time in this step: 0.0400202
Time in this step: 0.029919
Time in this step: 0.0281695
Time in this step: 0.0276214
Time in this step: 0.0277204
Time in this step: 0.0274985
Time in this step: 0.0288494
Time in this step: 0.0280112
Time in this step: 0.0246075
Time in this step: 0.024588
Time in this step: 0.024155
Time in this step: 0.0246281
Time in this step: 0.0249741
Time in this step: 0.0229751
Time in this step: 0.0230737
Time in this step: 0.0237818
